Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2550000.0,2710000.0,250000.0,1050000.0,6560000.0
Assassin's Creed III,PS3,2012,Action,Ubisoft,2640000.0,2560000.0,160000.0,1140000.0,6500000.0
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3700000.0,1970000.0,90000.0,570000.0,6340000.0
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3920000.0,1780000.0,30000.0,510000.0,6240000.0
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4050000.0,1620000.0,70000.0,490000.0,6240000.0
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2410000.0,2280000.0,280000.0,1010000.0,5990000.0
Destiny,PS4,2014,Shooter,Activision,2490000.0,2049999.9999999998,160000.0,960000.0,5650000.0
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2700000.0,1910000.0,110000.0,800000.0,5530000.0
Minecraft,PS3,2014,Misc,Sony Computer Entertainment,1970000.0,2510000.0,0.0,940000.0,5420000.0
Assassin's Creed III,X360,2012,Action,Ubisoft,3130000.0,1710000.0,30000.0,440000.0,5300000.0
Diablo III,PC,2012,Role-Playing,Activision,2430000.0,2150000.0,0.0,620000.0,5200000.0
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2320000.0,1300000.0,1270000.0,310000.0,5190000.0
FIFA Soccer 13,X360,2012,Action,Electronic Arts,1080000.0,3480000.0,30000.0,580000.0,5180000.0
Tomodachi Life,3DS,2013,Simulation,Nintendo,960000.0,2020000.0,1890000.0,280000.0,5150000.0
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3590000.0,1110000.0,50000.0,380000.0,5130000.0
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3210000.0,1530000.0,10000.0,380000.0,5130000.0
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2660000.0,2009999.9999999998,0.0,410000.0,5080000.0
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,600000.0,3290000.0,60000.0,1130000.0,5080000.0
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,2590000.0,1060000.0,800000.0,570000.0,5020000.0
Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,0.0,0.0,4870000.0,0.0,4870000.0
God of War III,PS3,2010,Action,Sony Computer Entertainment,2740000.0,1360000.0,120000.0,630000.0,4840000.0
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2560000.0,1680000.0,0.0,590000.0,4830000.0
FIFA 15,PS3,2014,Sports,Electronic Arts,570000.0,3140000.0,40000.0,1070000.0,4820000.0
FIFA 17,PS4,2016,Sports,Electronic Arts,280000.0,3750000.0,60000.0,690000.0,4770000.0
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2990000.0,1310000.0,40000.0,410000.0,4760000.0
Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,2080000.0,2040000.0,60000.0,470000.0,4640000.0
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,1780000.0,1390000.0,1100000.0,300000.0,4580000.0
Splatoon,WiiU,2015,Shooter,Nintendo,1550000.0,1150000.0,1440000.0,430000.0,4570000.0
The Last of Us,PS4,2014,Action,Sony Computer Entertainment,1780000.0,1870000.0,70000.0,820000.0,4550000.0
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,1960000.0,1690000.0,80000.0,740000.0,4470000.0
Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,1540000.0,1940000.0,190000.0,770000.0,4450000.0
Nintendo Land,WiiU,2012,Misc,Nintendo,2550000.0,1110000.0,460000.0,330000.0,4440000.0
Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,2670000.0,1350000.0,10000.0,390000.0,4420000.0
FIFA 14,X360,2013,Sports,Electronic Arts,920000.0,2930000.0,10000.0,460000.0,4310000.0
Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision,2750000.0,1180000.0,0.0,370000.0,4310000.0
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,2640000.0,1200000.0,30000.0,390000.0,4260000.0
Super Mario 3D World,WiiU,2013,Platform,Nintendo,2110000.0,1110000.0,720000.0,300000.0,4250000.0
Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,1410000.0,2020000.0,100000.0,720000.0,4240000.0
The Legend of Zelda: Ocarina of Time,3DS,2011,Action,Nintendo,2029999.9999999998,1270000.0,620000.0,300000.0,4210000.0
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1300000.0,2069999.9999999998,180000.0,650000.0,4200000.0
Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,2250000.0,1470000.0,40000.0,430000.0,4190000.0000000005
FIFA 12,X360,2011,Sports,Electronic Arts,840000.0,2790000.0,20000.0,530000.0,4190000.0000000005
Watch Dogs,PS4,2014,Action,Ubisoft,1400000.0,1860000.0,110000.0,770000.0,4139999.9999999995
The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,2140000.0,1200000.0,370000.0,400000.0,4099999.9999999995
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,2450000.0,1260000.0,10000.0,370000.0,4090000.0
Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks,2650000.0,1060000.0,40000.0,330000.0,4080000.0
Far Cry 4,PS4,2014,Shooter,Ubisoft,1120000.0,2120000.0,100000.0,690000.0,4030000.0000000005
Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe,1380000.0,1870000.0,120000.0,650000.0,4019999.9999999995
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,1180000.0,1960000.0,80000.0,700000.0,3920000.0
Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,1330000.0,1710000.0,130000.0,730000.0,3890000.0
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,670000.0,490000.0,2620000.0,110000.0,3890000.0
The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks,1150000.0,2089999.9999999998,0.0,640000.0,3880000.0
Sports Champions,PS3,2010,Sports,Sony Computer Entertainment,2120000.0,1140000.0,100000.0,510000.0,3870000.0
NBA 2K16,PS4,2015,Sports,Take-Two Interactive,2480000.0,650000.0,30000.0,690000.0,3850000.0
Nintendogs + cats,3DS,2011,Simulation,Nintendo,1440000.0,1370000.0,730000.0,270000.0,3810000.0
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,1490000.0,1580000.0,100000.0,610000.0,3790000.0
Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,Sega,1140000.0,1910000.0,270000.0,460000.0,3780000.0
Just Dance 2014,Wii,2013,Misc,Ubisoft,1980000.0,1470000.0,0.0,320000.0,3760000.0
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,960000.0,2000000.0,210000.0,560000.0,3730000.0
Battlefield 4,PS3,2013,Shooter,Electronic Arts,1300000.0,1510000.0,270000.0,610000.0,3690000.0
Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment,710000.0,1800000.0,400000.0,740000.0,3640000.0
Call of Duty: Ghosts,PS4,2013,Shooter,Activision,1780000.0,1420000.0,50000.0,380000.0,3630000.0
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,1280000.0,1610000.0,150000.0,570000.0,3610000.0
Battlefield 4,X360,2013,Shooter,Electronic Arts,2140000.0,1080000.0,20000.0,290000.0,3530000.0
FIFA Soccer 11,X360,2010,Sports,Electronic Arts,710000.0,2400000.0,20000.0,400000.0,3530000.0
Assassin's Creed: Brotherhood,X360,2010,Action,Ubisoft,2840000.0,390000.0,30000.0,240000.0,3500000.0
Star Wars Battlefront (2015),XOne,2015,Shooter,Electronic Arts,1940000.0,1220000.0,20000.0,310000.0,3490000.0
Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts,2089999.9999999998,1020000.0,40000.0,320000.0,3480000.0
Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,2260000.0,890000.0,0.0,300000.0,3460000.0
Far Cry 3,PS3,2012,Shooter,Ubisoft,880000.0,1750000.0,100000.0,720000.0,3450000.0
Monster Hunter 4,3DS,2013,Role-Playing,Capcom,0.0,0.0,3440000.0,0.0,3440000.0
Battlefield 4,PS4,2013,Shooter,Electronic Arts,1340000.0,1540000.0,170000.0,380000.0,3430000.0
LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment,1820000.0,1070000.0,60000.0,470000.0,3420000.0
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,1080000.0,1350000.0,480000.0,470000.0,3380000.0
Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft,1900000.0,1140000.0,10000.0,290000.0,3340000.0
Mario Party 9,Wii,2012,Misc,Nintendo,1150000.0,1170000.0,760000.0,240000.0,3320000.0
Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,800000.0,1920000.0,60000.0,500000.0,3280000.0
Destiny,XOne,2014,Shooter,Activision,2130000.0,920000.0,0.0,230000.0,3280000.0
Monster Hunter X,3DS,2015,Action,Capcom,250000.0,190000.0,2780000.0,40000.0,3260000.0
FIFA 16,XOne,2015,Sports,Electronic Arts,880000.0,2110000.0,0.0,230000.0,3230000.0
L.A. Noire,PS3,2011,Adventure,Take-Two Interactive,1270000.0,1330000.0,120000.0,510000.0,3230000.0
Madden NFL 16,PS4,2015,Sports,Electronic Arts,2330000.0,300000.0,0.0,590000.0,3220000.0
Yokai Watch 2 Ganso/Honke,3DS,2014,Role-Playing,Nintendo,30000.0,0.0,3180000.0,0.0,3220000.0
Dance Central,X360,2010,Misc,MTV Games,2150000.0,770000.0,10000.0,260000.0,3190000.0
Super Mario Maker,WiiU,2015,Platform,Nintendo,1180000.0,870000.0,930000.0,200000.0,3180000.0
Fallout: New Vegas,PS3,2010,Role-Playing,Bethesda Softworks,1520000.0,1080000.0,100000.0,470000.0,3170000.0
Resident Evil 6,PS3,2012,Shooter,Capcom,880000.0,970000.0,880000.0,420000.0,3150000.0
Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Game Studios,1890000.0,990000.0,30000.0,240000.0,3150000.0
Heavy Rain,PS3,2010,Adventure,Sony Computer Entertainment,1290000.0,1270000.0,60000.0,500000.0,3120000.0
Mass Effect 2,X360,2010,Role-Playing,Electronic Arts,1990000.0,820000.0,30000.0,270000.0,3110000.0
FIFA 15,X360,2014,Sports,Electronic Arts,780000.0,2020000.0,0.0,300000.0,3110000.0
Borderlands 2,X360,2012,Shooter,Take-Two Interactive,1890000.0,910000.0,40000.0,240000.0,3070000.0
The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo,1400000.0,990000.0,460000.0,220000.0,3070000.0
Mass Effect 3,X360,2012,Role-Playing,Electronic Arts,1940000.0,860000.0,30000.0,240000.0,3070000.0
Far Cry 3,X360,2012,Shooter,Ubisoft,1380000.0,1350000.0,20000.0,280000.0,3040000.0
Epic Mickey,Wii,2010,Platform,Disney Interactive Studios,2060000.0,640000.0,120000.0,220000.0,3040000.0
Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios,2380000.0,320000.0,0.0,310000.0,3000000.0
NBA 2K13,X360,2012,Sports,Take-Two Interactive,2600000.0,210000.0,10000.0,190000.0,3000000.0
Middle-Earth: Shadow of Mordor,PS4,2014,Action,Warner Bros. Interactive Entertainment,1010000.0,1410000.0,50000.0,530000.0,2990000.0
Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo,470000.0,1000000.0,1390000.0,120000.0,2980000.0
Battlefield: Bad Company 2,PS3,2010,Shooter,Electronic Arts,1330000.0,1120000.0,80000.0,450000.0,2970000.0
The Sims 4,PC,2014,Simulation,Electronic Arts,960000.0,1720000.0,0.0,290000.0,2970000.0
Star Wars: The Old Republic,PC,2011,Role-Playing,Electronic Arts,1580000.0,1010000.0,0.0,380000.0,2970000.0
FIFA 14,PS4,2013,Sports,Electronic Arts,610000.0,1850000.0,110000.0,330000.0,2900000.0
Titanfall,XOne,2014,Shooter,Electronic Arts,1840000.0,800000.0,40000.0,220000.0,2900000.0
Need for Speed: Most Wanted,PS3,2012,Racing,Electronic Arts,710000.0,1510000.0,60000.0,610000.0,2890000.0
Zumba Fitness 2,Wii,2011,Sports,Majesco Entertainment,1540000.0,1070000.0,0.0,280000.0,2880000.0
Call of Duty: Ghosts,XOne,2013,Shooter,Activision,1870000.0,770000.0,0.0,220000.0,2860000.0
Madden NFL 13,X360,2012,Sports,Electronic Arts,2530000.0,160000.0,0.0,170000.0,2860000.0
Mortal Kombat,PS3,2011,Fighting,Warner Bros. Interactive Entertainment,1980000.0,550000.0,0.0,320000.0,2850000.0
Skylanders: Spyro's Adventure,Wii,2011,Action,Activision,1400000.0,1140000.0,0.0,310000.0,2850000.0
FIFA 16,PS3,2015,Sports,Electronic Arts,400000.0,1980000.0,50000.0,420000.0,2850000.0
Assassin's Creed: Brotherhood,PS3,2010,Action,Ubisoft,1870000.0,570000.0,110000.0,300000.0,2840000.0
Medal of Honor,PS3,2010,Shooter,Electronic Arts,1280000.0,1050000.0,70000.0,430000.0,2830000.0
Need for Speed: Hot Pursuit,PS3,2010,Racing,Electronic Arts,1050000.0,1250000.0,30000.0,480000.0,2810000.0
Killzone 3,PS3,2011,Shooter,Sony Computer Entertainment,1450000.0,880000.0,90000.0,380000.0,2790000.0
Battlefield 3,PC,2011,Shooter,Electronic Arts,890000.0,1430000.0,0.0,480000.0,2790000.0
Monster Hunter Tri,3DS,2011,Role-Playing,Nintendo,460000.0,290000.0,1960000.0,70000.0,2790000.0
inFAMOUS: Second Son,PS4,2014,Action,Sony Computer Entertainment,1270000.0,970000.0,70000.0,470000.0,2780000.0
Saints Row: The Third,X360,2011,Action,THQ,1250000.0,1150000.0,70000.0,300000.0,2770000.0
Assassin's Creed IV: Black Flag,PS4,2013,Action,Ubisoft,1070000.0,1310000.0,60000.0,310000.0,2740000.0
L.A. Noire,X360,2011,Adventure,Take-Two Interactive,1520000.0,940000.0,20000.0,240000.0,2720000.0
Mortal Kombat X,PS4,2015,Fighting,Warner Bros. Interactive Entertainment,1470000.0,760000.0,0.0,470000.0,2700000.0
Madden NFL 12,X360,2011,Sports,Electronic Arts,2420000.0,110000.0,0.0,160000.0,2690000.0
Madden NFL 11,X360,2010,Sports,Electronic Arts,2380000.0,120000.0,0.0,180000.0,2690000.0
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,Puzzle,Nintendo,1630000.0,520000.0,350000.0,180000.0,2690000.0
Skate 3,X360,2010,Sports,Electronic Arts,1460000.0,980000.0,0.0,240000.0,2680000.0
Yokai Watch 2 Shinuchi,3DS,2014,Role-Playing,Level 5,0.0,0.0,2680000.0,0.0,2680000.0
Final Fantasy XIII-2,PS3,2011,Role-Playing,Square Enix,780000.0,750000.0,890000.0,260000.0,2680000.0
Skylanders Giants,Wii,2012,Action,Activision,1560000.0,880000.0,0.0,220000.0,2650000.0
Medal of Honor,X360,2010,Shooter,Electronic Arts,1550000.0,810000.0,40000.0,210000.0,2620000.0
NBA 2K12,X360,2011,Sports,Take-Two Interactive,2310000.0,140000.0,10000.0,160000.0,2620000.0
Super Mario All-Stars: Limited Edition,Wii,2010,Platform,Nintendo,1020000.0,520000.0,920000.0,140000.0,2600000.0
Killzone: Shadow Fall,PS4,2013,Shooter,Sony Computer Entertainment,890000.0,1330000.0,70000.0,280000.0,2580000.0
Art Academy,DS,2010,Misc,Nintendo,280000.0,1680000.0,330000.0,280000.0,2570000.0
Madden NFL 13,PS3,2012,Sports,Electronic Arts,2110000.0,230000.0,0.0,220000.0,2560000.0
Tomb Raider (2013),PS3,2013,Action,Square Enix,600000.0,1310000.0,80000.0,520000.0,2510000.0
Saints Row: The Third,PS3,2011,Action,THQ,860000.0,1060000.0,180000.0,390000.0,2490000.0
LEGO Harry Potter: Years 1-4,Wii,2010,Action,Warner Bros. Interactive Entertainment,1290000.0,970000.0,0.0,230000.0,2490000.0
NBA 2K13,PS3,2012,Sports,Take-Two Interactive,1720000.0,440000.0,50000.0,270000.0,2480000.0
NBA 2K14,X360,2013,Sports,Take-Two Interactive,2100000.0,200000.0,0.0,170000.0,2470000.0
uDraw Studio,Wii,2010,Misc,THQ,1670000.0,580000.0,0.0,200000.0,2460000.0
Halo: Combat Evolved Anniversary,X360,2011,Shooter,Microsoft Game Studios,1440000.0,730000.0,40000.0,220000.0,2440000.0
pro evolution soccer 2011,PS3,2010,Sports,Konami Digital Entertainment,290000.0,1180000.0,540000.0,410000.0,2420000.0
Minecraft,XOne,2014,Misc,Microsoft Game Studios,1430000.0,760000.0,0.0,220000.0,2410000.0
Madden NFL 16,XOne,2015,Sports,Electronic Arts,2069999.9999999998,80000.0,0.0,260000.0,2400000.0
Need for Speed (2015),PS4,2015,Racing,Electronic Arts,490000.0,1490000.0,50000.0,360000.0,2390000.0
Zumba Fitness,X360,2010,Sports,505 Games,1740000.0,480000.0,0.0,180000.0,2390000.0
Batman: Arkham Origins,PS3,2013,Action,Warner Bros. Interactive Entertainment,1070000.0,870000.0,40000.0,400000.0,2390000.0
Dead Island,X360,2011,Action,Deep Silver,1480000.0,710000.0,0.0,200000.0,2390000.0
Kinect: Disneyland Adventures,X360,2011,Misc,Microsoft Game Studios,1730000.0,460000.0,20000.0,180000.0,2380000.0
Bloodborne,PS4,2015,Action,Sony Computer Entertainment,1000000.0,760000.0,260000.0,360000.0,2380000.0
NBA 2K15,PS4,2014,Sports,Take-Two Interactive,1460000.0,540000.0,10000.0,370000.0,2380000.0
Madden NFL 11,PS3,2010,Sports,Electronic Arts,2040000.0,150000.0,0.0,190000.0,2380000.0
Kinect Sports: Season Two,X360,2011,Sports,Microsoft Game Studios,1380000.0,740000.0,20000.0,220000.0,2360000.0
LEGO Harry Potter: Years 1-4,DS,2010,Action,Warner Bros. Interactive Entertainment,1070000.0,1050000.0,0.0,230000.0,2350000.0
Skylanders SWAP Force,Wii,2013,Platform,Activision,1320000.0,830000.0,0.0,200000.0,2340000.0
The Sims 3,X360,2010,Simulation,Electronic Arts,1270000.0,860000.0,0.0,200000.0,2330000.0
The Legend of Zelda: Majora's Mask 3D,3DS,2015,Action,Nintendo,1140000.0,540000.0,470000.0,170000.0,2320000.0
NBA 2K16,XOne,2015,Sports,Take-Two Interactive,1930000.0,140000.0,0.0,240000.0,2320000.0
Just Dance Kids,Wii,2010,Misc,Ubisoft,1570000.0,560000.0,0.0,190000.0,2320000.0
LEGO Marvel Super Heroes,X360,2013,Action,Warner Bros. Interactive Entertainment,1240000.0,850000.0,0.0,210000.0,2300000.0
Guild Wars 2,PC,2012,Action,NCSoft,950000.0,1060000.0,0.0,290000.0,2300000.0
Dead Island,PS3,2011,Action,Deep Silver,1080000.0,750000.0,150000.0,310000.0,2290000.0
God of War: Ascension,PS3,2013,Action,Sony Computer Entertainment,1230000.0,680000.0,40000.0,340000.0,2290000.0
Just Dance 2015,Wii,2014,Misc,Ubisoft,1110000.0,980000.0,0.0,200000.0,2280000.0
Yokai Watch Busters,3DS,2015,Action,Level 5,0.0,0.0,2280000.0,0.0,2280000.0
Borderlands 2,PS3,2012,Shooter,Take-Two Interactive,1050000.0,770000.0,100000.0,360000.0,2280000.0
Paper Mario: Sticker Star,3DS,2012,Role-Playing,Nintendo,1120000.0,390000.0,640000.0,120000.0,2270000.0
Minecraft,PSV,2014,Misc,Sony Computer Entertainment Europe,280000.0,790000.0,870000.0,320000.0,2250000.0
Madden NFL 12,PS3,2011,Sports,Electronic Arts,1930000.0,150000.0,0.0,170000.0,2250000.0
New Super Luigi U,WiiU,2013,Platform,Nintendo,1270000.0,620000.0,180000.0,160000.0,2220000.0
Need for Speed: Hot Pursuit,X360,2010,Racing,Electronic Arts,1030000.0,980000.0,0.0,210000.0,2220000.0
BioShock 2,X360,2010,Shooter,Take-Two Interactive,1450000.0,550000.0,20000.0,190000.0,2210000.0
Assassin's Creed IV: Black Flag,XOne,2013,Action,Ubisoft,1470000.0,550000.0,0.0,190000.0,2210000.0
Pro Evolution Soccer 2012,PS3,2011,Action,Konami Digital Entertainment,340000.0,970000.0,550000.0,330000.0,2190000.0
Hitman: Absolution,PS3,2012,Action,Square Enix,590000.0,1070000.0,70000.0,450000.0,2190000.0
Forza Motorsport 5,XOne,2013,Racing,Microsoft Game Studios,1210000.0,780000.0,10000.0,170000.0,2180000.0
Madden NFL 25,X360,2013,Sports,Electronic Arts,1970000.0,70000.0,0.0,130000.0,2180000.0
Final Fantasy XIII,X360,2010,Role-Playing,Square Enix,1270000.0,680000.0,10000.0,200000.0,2170000.0
Tom Clancy's Rainbow Six: Siege,PS4,2015,Shooter,Ubisoft,540000.0,1160000.0,130000.0,320000.0,2150000.0
FIFA 15,XOne,2014,Sports,Electronic Arts,600000.0,1410000.0,0.0,140000.0,2150000.0
Far Cry: Primal,PS4,2016,Action,Ubisoft,590000.0,1160000.0,60000.0,330000.0,2130000.0
Toy Story 3: The Video Game,DS,2010,Action,Disney Interactive Studios,930000.0,970000.0,20000.0,210000.0,2120000.0
Kirby's Epic Yarn,Wii,2010,Platform,Nintendo,1470000.0,90000.0,450000.0,110000.0,2120000.0
NBA 2K12,PS3,2011,Sports,Take-Two Interactive,1610000.0,270000.0,50000.0,180000.0,2110000.0
Mario Sports Mix,Wii,2010,Sports,Nintendo,900000.0,450000.0,630000.0,130000.0,2110000.0
Mortal Kombat,X360,2011,Fighting,Warner Bros. Interactive Entertainment,1630000.0,330000.0,0.0,150000.0,2110000.0
Portal 2,X360,2011,Shooter,Valve Software,1410000.0,510000.0,10000.0,170000.0,2100000.0
NBA 2K11,X360,2010,Action,Take-Two Interactive,1840000.0,120000.0,10000.0,130000.0,2089999.9999999998
